PostcodeDistrict,EstimatedCatPopulation
E11,"4,527.03"
E12,849.2831447
E13,679.8403122
E14,"2,887.55"
E15,"1,589.64"
E16,"2,128.12"
E17,"2,797.08"
E18,"1,349.43"
E1W,296.7000796
E2,"1,085.51"
E20,168.3896751
E3,"3,112.69"
E4,"7,067.58"
E5,623.2315145
E6,"2,192.72"
E7,"1,361.08"
E8,"1,163.15"
E9,728.5581177
EC1A,25.70275297
EC1M,57.39571905
EC1N,45.30755861
EC1R,194.5836063
EC1V,406.1526696
EC1Y,95.16930012
EC2A,159.7906648
EC2M,26.60012038
EC2N,8.401395157
EC2P,0.567534514
EC2R,12.9850795
EC2V,9.659814098
EC2Y,19.36708103
EC3A,11.58143722
EC3M,16.89775454
EC3N,26.76676111
EC3R,16.79193167
EC3V,12.68742949
EC4A,12.78568618
EC4M,8.829240054
EC4N,10.03052631
EC4R,8.084164462
EC4V,17.62160961
EC4Y,26.42268301
EH1,986.0729724
EH10,"5,186.52"
EH11,"4,852.83"
EH12,"3,963.05"
EH13,"1,887.80"
EH14,"4,719.37"
EH15,"3,492.38"
EH16,"4,160.17"
EH17,"2,727.03"
EH18,975.2033322
EH19,"3,174.02"
EH2,578.1106473
EH20,"5,294.38"
EH21,"6,222.06"
EH22,"5,043.98"
EH23,"4,659.49"
EH24,429.5869849
EH25,"7,489.82"
EH26,"3,873.33"
EH27,205.8667618
EH28,"1,656.58"
EH29,"2,529.41"
EH3,"3,360.03"
EH30,"2,504.63"
EH31,"1,226.28"
EH32,"5,449.72"
EH33,"5,495.20"
EH34,780.1143994
EH35,563.7288966
EH36,95.28978749
EH37,300.1991533
EH38,256.7490794
EH39,"4,152.06"
EH4,"8,242.26"
EH40,375.1562981
EH41,"1,776.37"
EH42,"2,923.75"
EH43,276.2751144
EH44,998.2337518
EH45,"4,564.22"
EH46,807.1818934
EH47,"1,103.24"
EH48,"1,756.39"
EH49,"2,561.79"
EH5,"2,760.78"
EH51,"2,103.61"
EH52,"1,672.42"
EH53,"1,096.00"
EH54,"7,343.58"
EH55,"2,098.82"
EH6,"5,783.16"
EH7,"2,480.70"
EH8,"1,574.90"
EH9,"2,848.25"
EN1,"4,671.42"
EN10,"4,950.58"
EN11,"3,763.15"
EN2,"2,665.96"
EN3,"4,510.28"
EN4,"2,488.66"
EN5,"2,989.10"
EN6,"14,096.19"
EN7,"3,037.11"
EN8,"3,824.16"
EN9,"4,890.29"
EX1,"2,874.25"
EX10,"5,868.88"
EX11,"2,670.28"
EX12,"3,679.21"
EX13,"4,253.91"
EX14,"7,337.47"
EX15,"10,716.45"
EX16,"10,815.58"
EX17,"8,836.08"
EX18,717.3283622
EX19,"1,966.24"
EX2,"5,393.10"
EX20,"9,732.79"
EX21,"2,202.67"
CA95,0
CA99,0
CF91,0
CF95,0
CF99,0
CH70,0
CH88,0
CH99,0
CM92,0
CM98,0
CR9,0
CT50,0
DE99,0
DH97,0
DH99,0
DL98,0
DN55,0
E98,0
EC3P,0
EH91,0
EH99,0
EX22,"9,646.04"
EX23,"8,605.79"
EX24,"1,265.77"
EX3,"1,008.37"
EX31,"18,944.44"
EX32,"5,566.01"
EX33,"4,226.12"
EX34,"10,215.26"
EX35,"1,894.17"
EX36,"6,928.58"
EX37,"1,191.90"
EX38,751.1651241
EX39,"18,206.69"
EX4,"8,283.86"
EX5,"4,436.85"
EX6,"9,513.85"
EX7,"1,842.98"
EX8,"9,302.39"
EX9,"2,095.85"
FK1,"3,200.40"
FK10,"2,982.90"
FK11,349.4417437
FK12,446.5137204
FK13,554.5425672
FK14,493.8418302
FK15,"4,435.18"
FK16,"1,116.13"
FK17,"1,838.50"
FK18,118.0526496
FK19,240.4474775
FK2,"5,888.59"
FK20,50.74555728
FK21,408.1057916
FK3,"1,011.60"
FK4,742.9779205
FK5,689.7897773
FK6,"2,123.57"
FK7,"10,236.43"
FK8,"4,047.52"
FK9,"2,036.49"
FY1,"1,882.36"
FY2,"1,903.21"
FY3,"1,971.65"
FY4,"2,561.56"
FY5,"7,398.65"
FY6,"6,462.93"
FY7,"2,611.65"
FY8,"8,630.87"
G1,"1,086.31"
G11,"3,255.78"
G12,"4,620.70"
G13,"6,478.03"
G14,"2,808.81"
G15,991.5909819
G2,"1,269.74"
G20,"2,869.05"
G21,"1,350.32"
G22,991.6947911
G23,327.8940625
G3,"3,897.77"
G31,"1,523.30"
G32,"1,578.56"
G33,"1,938.02"
G34,375.2141345
G4,950.4259882
G40,878.2933961
G41,"6,603.07"
G42,"2,997.68"
G43,"2,780.06"
G44,"2,011.14"
G45,"1,333.75"
G46,"1,696.66"
G5,"1,372.98"
G51,"4,743.28"
G52,"3,041.64"
G53,"2,798.53"
G60,237.7420995
G61,"6,267.68"
G62,"2,861.30"
G63,"2,933.42"
G64,"3,657.41"
G65,"2,069.04"
G66,"3,836.01"
G67,"3,315.23"
G68,"1,404.06"
G69,"1,767.85"
G71,"2,916.40"
G72,"4,597.68"
G73,"2,927.34"
G74,"2,410.48"
G75,"3,324.59"
G76,"5,434.89"
G77,"2,968.02"
G78,777.1515228
G81,"1,666.61"
G82,"4,133.83"
G83,"1,488.86"
G84,"3,558.65"
GL1,"2,724.50"
GL10,"4,342.17"
GL11,"6,550.20"
GL12,"3,198.77"
GL13,"2,435.71"
GL14,"3,136.22"
GL15,"7,441.48"
GL16,"2,807.10"
GL17,"1,801.31"
GL18,"1,987.58"
GL19,"2,840.48"
GL2,"17,387.35"
GL20,"11,095.88"
GL3,"6,841.78"
GL4,"8,674.47"
GL5,"10,318.32"
GL50,"7,303.54"
GL51,"12,272.01"
GL52,"10,163.26"
GL53,"2,945.78"
GL54,"7,763.21"
GL55,"2,173.93"
GL56,"6,147.62"
GL6,"4,598.20"
GL7,"13,099.64"
GL8,"4,494.97"
GL9,564.1375639
GU1,"7,286.19"
GU10,"5,936.92"
GU11,"2,508.74"
GU12,"4,072.93"
GU14,"8,896.13"
GU15,"6,123.17"
GU16,"3,387.44"
GU17,"1,936.98"
GU18,"1,071.17"
GU19,"1,344.95"
GU2,"5,991.63"
GU20,"1,490.57"
GU21,"8,051.98"
GU22,"3,872.16"
GU23,"1,273.06"
GU24,"4,133.92"
GU25,"1,303.50"
GU26,"2,884.91"
GU27,"4,166.30"
GU28,"2,353.91"
GU29,"4,091.96"
GU3,"4,157.59"
GU30,"3,669.01"
GU31,"4,211.78"
GU32,"3,658.23"
GU33,834.1904431
GU34,"6,322.17"
GU35,"5,444.82"
GU4,"2,449.29"
